remote 3.400108 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x34 | 0x00 | 0x66 | 0x00 | 0x27 | 0x26 | 0x00 | 0x91
remote 3.440079 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xda | 0x00 | 0x24 | 0x00 | 0x3a | 0x26 | 0x00 | 0x1b
remote 3.480101 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xa8 | 0x00 | 0x66 | 0xff | 0xa6 | 0x26 | 0x00 | 0xa0
remote 3.520152 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x22 | 0x00 | 0x54 | 0xff | 0xe1 | 0x26 | 0x00 | 0xfc
remote 3.560201 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x3a | 0x00 | 0x6b | 0xff | 0xea | 0x26 | 0x00 | 0xc4
remote 3.600204 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xf5 | 0x00 | 0x22 | 0xff | 0xe3 | 0x26 | 0x00 | 0x5a
remote 3.640180 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x1d | 0x00 | 0x38 | 0x00 | 0x20 | 0x26 | 0x00 | 0xdd
remote 3.680281 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xe6 | 0x00 | 0x3e | 0xff | 0xdf | 0x26 | 0x00 | 0x51
remote 3.720210 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xff | 0x00 | 0x51 | 0xff | 0xd5 | 0x26 | 0x00 | 0x2f
remote 3.760224 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xfc | 0x00 | 0x3a | 0xff | 0xff | 0x26 | 0x00 | 0x1f
remote 3.800178 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xed | 0x00 | 0x3e | 0x00 | 0x20 | 0x26 | 0x00 | 0x08
remote 3.840275 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xd0 | 0x00 | 0x36 | 0xff | 0xee | 0x26 | 0x00 | 0x60
remote 3.880260 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xa7 | 0x00 | 0x15 | 0x00 | 0x17 | 0x26 | 0x00 | 0x80
remote 3.920345 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x22 | 0x00 | 0x4a | 0x00 | 0x38 | 0x26 | 0x00 | 0xae
remote 3.960264 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xdb | 0x00 | 0x6c | 0xff | 0xdd | 0x26 | 0x00 | 0x30
remote 4.000279 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x16 | 0x00 | 0x3c | 0x00 | 0x77 | 0x26 | 0x00 | 0x89
remote 4.040293 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0x68 | 0x00 | 0x45 | 0x00 | 0x14 | 0x26 | 0x00 | 0x92
remote 4.080325 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x41 | 0x00 | 0x39 | 0x00 | 0xd1 | 0x26 | 0x00 | 0x07
remote 4.120367 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfc | 0x8d | 0x00 | 0x5c | 0x01 | 0x4d | 0x26 | 0x00 | 0x1b
remote 4.160389 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0x60 | 0x00 | 0x4d | 0x01 | 0x06 | 0x26 | 0x00 | 0x9f
remote 4.200343 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfd | 0xac | 0x00 | 0x99 | 0x01 | 0xec | 0x26 | 0x00 | 0x1f
remote 4.240306 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfb | 0xb6 | 0x00 | 0x84 | 0x01 | 0x69 | 0x26 | 0x00 | 0xaf
remote 4.280368 R FIFO 0x45 | 0xe1 | 0xfe | 0x91 | 0x00 | 0x12 | 0x00 | 0x0a | 0xfd | 0x53 | 0x00 | 0x68 | 0x02 | 0x7e | 0x26 | 0x00 | 0x16
remote 4.320389 R FIFO 0x45 | 0xe1 | 0xfd | 0xfd | 0x00 | 0x41 | 0x00 | 0x0a | 0xfb | 0xe1 | 0x00 | 0x65 | 0x01 | 0xda | 0x26 | 0x00 | 0x98
remote 4.360364 R FIFO 0x45 | 0xe1 | 0xfd | 0xfd | 0x00 | 0x41 | 0x00 | 0x0a | 0xfd | 0x27 | 0x00 | 0x3a | 0x02 | 0xd0 | 0x26 | 0x00 | 0x84
remote 4.400347 R FIFO 0x45 | 0xe1 | 0xfd | 0xfd | 0x00 | 0x41 | 0x00 | 0x0a | 0xfd | 0x6c | 0x00 | 0xd1 | 0x02 | 0xa6 | 0x26 | 0x00 | 0xd2
remote 4.440417 R FIFO 0x45 | 0xe1 | 0xfd | 0xfd | 0x00 | 0x41 | 0x00 | 0x0a | 0xfd | 0x35 | 0x00 | 0x54 | 0x02 | 0xbc | 0x26 | 0x00 | 0x70
remote 4.480530 R FIFO 0x45 | 0xe1 | 0xfd | 0xfd | 0x00 | 0x41 | 0x00 | 0x0a | 0xfe | 0x54 | 0x00 | 0xbf | 0x03 | 0x4f | 0x26 | 0x00 | 0x51
remote 4.520460 R FIFO 0x45 | 0xe1 | 0xfd | 0xfd | 0x00 | 0x41 | 0x00 | 0x0a | 0xfd | 0x7b | 0x00 | 0xaa | 0x02 | 0xd4 | 0x26 | 0x00 | 0xbc
remote 4.560469 R FIFO 0x45 | 0xe1 | 0xfe | 0x21 | 0x00 | 0x5a | 0x00 | 0x0a | 0xfd | 0xef | 0x00 | 0x58 | 0x03 | 0x6c | 0x26 | 0x00 | 0xc3
remote 4.600515 R FIFO 0x45 | 0xe1 | 0xfe | 0x21 | 0x00 | 0x5a | 0x00 | 0x0a | 0xfe | 0x48 | 0x00 | 0xc2 | 0x03 | 0x7d | 0x26 | 0x00 | 0xee
remote 4.640526 R FIFO 0x45 | 0xe1 | 0xfe | 0x21 | 0x00 | 0x5a | 0x00 | 0x0a | 0xfe | 0x2d | 0x00 | 0x3e | 0x03 | 0xbf | 0x26 | 0x00 | 0x4b
remote 4.680530 R FIFO 0x45 | 0xe1 | 0xfe | 0x21 | 0x00 | 0x5a | 0x00 | 0x0a | 0xfe | 0x90 | 0x00 | 0x4d | 0x03 | 0xdb | 0x26 | 0x00 | 0xbd
remote 4.720530 R FIFO 0x45 | 0xe1 | 0xfe | 0x21 | 0x00 | 0x5a | 0x00 | 0x0a | 0xfe | 0x65 | 0x00 | 0x4d | 0x03 | 0xa3 | 0x26 | 0x00 | 0x20
remote 4.760581 R FIFO 0x45 | 0xe1 | 0xfe | 0x21 | 0x00 | 0x5a | 0x00 | 0x0b | 0xfe | 0x87 | 0x00 | 0x59 | 0x03 | 0xa6 | 0x26 | 0x00 | 0xee
remote 4.800496 R FIFO 0x45 | 0xe1 | 0xfe | 0xa2 | 0x00 | 0x46 | 0x00 | 0x0b | 0xff | 0x01 | 0x00 | 0x4a | 0x03 | 0xfe | 0x26 | 0x00 | 0xbd
remote 4.840600 R FIFO 0x45 | 0xe1 | 0xfe | 0xa2 | 0x00 | 0x46 | 0x00 | 0x0b | 0xff | 0x04 | 0x00 | 0x60 | 0x03 | 0xbf | 0x26 | 0x00 | 0xe3
remote 4.880585 R FIFO 0x45 | 0xe1 | 0xfe | 0xa2 | 0x00 | 0x46 | 0x00 | 0x0b | 0xff | 0xf5 | 0xff | 0xcf | 0x04 | 0x5f | 0x26 | 0x00 | 0xe3
